,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri,genres
3640,2022-03-04 12:51,Red Hot Chili Peppers,Wet Sand,309800,Red Hot Chili Peppers:Wet Sand,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3641,2022-03-04 12:54,Red Hot Chili Peppers,Road Trippin',204960,Red Hot Chili Peppers:Road Trippin',1,Greatest Hits,2uPrbZ9AYj1TZCAu04h7HV,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3642,2022-03-04 12:59,Red Hot Chili Peppers,Goodbye Angels,268733,Red Hot Chili Peppers:Goodbye Angels,1,The Getaway,2XTkpF9T2PKvcLgamGJGx1,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3643,2022-03-04 13:03,Red Hot Chili Peppers,Parallel Universe,269360,Red Hot Chili Peppers:Parallel Universe,1,Greatest Hits,6fut8mo6sof0srjhQwAy9x,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3644,2022-03-04 13:08,Red Hot Chili Peppers,Dosed,311866,Red Hot Chili Peppers:Dosed,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3645,2022-03-04 13:13,Red Hot Chili Peppers,Aeroplane,285066,Red Hot Chili Peppers:Aeroplane,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3646,2022-03-04 13:17,Red Hot Chili Peppers,Go Robot,263800,Red Hot Chili Peppers:Go Robot,1,The Getaway,5m578MgxuEC956dulprCe8,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3647,2022-03-04 13:22,Red Hot Chili Peppers,Breaking the Girl,295373,Red Hot Chili Peppers:Breaking the Girl,1,Greatest Hits,0XF1XVfqplXk884pPURt6N,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3648,2022-03-04 13:27,Red Hot Chili Peppers,Don't Forget Me,277160,Red Hot Chili Peppers:Don't Forget Me,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3649,2022-03-04 13:31,Red Hot Chili Peppers,My Friends,248640,Red Hot Chili Peppers:My Friends,1,Greatest Hits,6eQaHKjZTXIhO2olrWmvoD,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3650,2022-03-04 13:35,Red Hot Chili Peppers,The Getaway,250386,Red Hot Chili Peppers:The Getaway,1,The Getaway,3bIQIx7hveYPQDdhjZ1kcq,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3651,2022-03-04 13:40,Red Hot Chili Peppers,Charlie,277533,Red Hot Chili Peppers:Charlie,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3652,2022-03-04 13:44,Red Hot Chili Peppers,Universally Speaking,256960,Red Hot Chili Peppers:Universally Speaking,1,Greatest Hits,7cuTTXwBNLVq2criiiko5k,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3653,2022-03-04 14:01,Red Hot Chili Peppers,I Could Have Lied,237930,Red Hot Chili Peppers:I Could Have Lied,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3654,2022-03-04 14:06,Red Hot Chili Peppers,Poster Child,342454,Red Hot Chili Peppers:Poster Child,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3655,2022-03-04 14:10,Red Hot Chili Peppers,Black Summer,232412,Red Hot Chili Peppers:Black Summer,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3656,2022-03-04 14:18,Red Hot Chili Peppers,Hey,308477,Red Hot Chili Peppers:Hey,0,,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
3657,2022-03-04 14:28,TOOL,Opiate²,594048,TOOL:Opiate²,0,,,"['alternative metal', 'art rock', 'nu metal', 'progressive metal', 'progressive rock', 'rock']"
3658,2022-03-04 14:33,Rammstein,Deutschland,322339,Rammstein:Deutschland,0,,,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']"
3659,2022-03-04 14:38,Rammstein,Radio,277397,Rammstein:Radio,0,,,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']"
3660,2022-03-04 14:42,Rammstein,Zeig dich,255845,Rammstein:Zeig dich,0,,,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']"
3661,2022-03-04 14:46,Rammstein,Ausländer,231603,Rammstein:Ausländer,0,,,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']"
3662,2022-03-04 14:50,Rammstein,Sex,236529,Rammstein:Sex,0,,,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']"
3663,2022-03-04 14:54,Rammstein,Puppe,273706,Rammstein:Puppe,0,,,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']"
3664,2022-03-04 14:59,Rammstein,Was ich liebe,269045,Rammstein:Was ich liebe,0,,,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']"
3665,2022-03-04 15:01,Rammstein,Diamant,154298,Rammstein:Diamant,0,,,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']"
3666,2022-03-04 15:06,Rammstein,Weit weg,260915,Rammstein:Weit weg,0,,,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']"
3667,2022-03-04 15:10,Rammstein,Tattoo,251658,Rammstein:Tattoo,0,,,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']"
3668,2022-03-04 15:14,Rammstein,Hallomann,251634,Rammstein:Hallomann,0,,,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']"
3669,2022-03-04 15:21,TOOL,Schism,403533,TOOL:Schism,0,,,"['alternative metal', 'art rock', 'nu metal', 'progressive metal', 'progressive rock', 'rock']"
3670,2022-03-04 15:25,System Of A Down,Aerials,235053,System Of A Down:Aerials,0,,,"['alternative metal', 'nu metal', 'rap metal']"
3671,2022-03-04 15:26,Deftones,Sextape,79976,Deftones:Sextape,0,,,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']"
